"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000106526",8.11568896022319,-0.075422877059182,0.800657888875747,-0.0942011289804288,0.924949387967223,NA
"ENSG00000106536",0.940177819387788,0.17096171993551,1.68094279404244,0.101705852537891,0.918990156585558,NA
"ENSG00000106537",19.4334856175147,-0.451926994226119,0.602874620431964,-0.749620201132882,0.453483480641157,0.736594521054302
"ENSG00000106538",2380.50717712473,-0.379782266476915,0.341568132316635,-1.11187851132686,0.266190389123733,0.565104211281039
"ENSG00000106540",0.692965698373322,-0.305894488806325,2.96453906744038,-0.103184502496855,0.917816539469939,NA
"ENSG00000106541",0,NA,NA,NA,NA,NA
"ENSG00000106546",1830.06317148387,-0.278331850559322,0.274780922031964,-1.01292276225401,0.311097055025219,0.615116652786442
"ENSG00000106554",732.724903471166,0.0247581863545079,0.118545497774899,0.208849655357813,0.834565606596734,0.951411073534628
"ENSG00000106560",10.5793391750003,0.309665097457736,0.546998431487383,0.566116975172494,0.57131426443789,0.81879803471768
"ENSG00000106565",867.529464023999,0.341323999944028,1.44906463284197,0.23554780939937,0.813783575951596,0.942546345516255
"ENSG00000106571",815.618561825571,-0.397006822337428,0.136055204546525,-2.91798335580518,0.00352303154546601,0.0291246248668574
"ENSG00000106588",929.131461471465,0.0802439047239803,0.195576683806567,0.410293820112753,0.681590424870785,0.883413520296794
"ENSG00000106591",577.322261885676,0.238999016142075,0.125709344001281,1.90120327204667,0.0572753926863144,0.220793232385577
"ENSG00000106603",418.646547224935,-0.235249701782979,0.14623105556305,-1.60875335869778,0.107670283206262,0.332856999215929
"ENSG00000106605",480.80455621787,0.106106189144731,0.165256159791119,0.642071008299165,0.520827078958411,0.783231666252123
"ENSG00000106608",637.782445397483,0.0204388599619988,0.111308106638699,0.183624181375597,0.85430829168127,0.957910644666679
"ENSG00000106609",3036.87507895199,0.158969616220907,0.0971688774025992,1.63601371622572,0.101836716773558,0.320829786345113
"ENSG00000106610",85.5544270952181,-0.329147305957748,0.306664135188075,-1.07331529249706,0.283129676109284,0.584993034744217
"ENSG00000106615",2235.48854826141,0.999193924015014,0.149048434127278,6.70382033776862,2.03039879802128e-11,1.60158280187668e-09
"ENSG00000106617",1034.82969084477,1.56765715928967,0.291788572702435,5.37257900393637,7.76184035960794e-08,2.91694968353008e-06
"ENSG00000106624",11903.8863153791,-0.101828343895256,0.24354331052273,-0.418111849086293,0.675865342044408,0.880026470474717
"ENSG00000106628",988.925543095133,-0.102677553820302,0.168598472102813,-0.609006431313848,0.542520176017772,0.798180305594439
"ENSG00000106631",0.409377524273253,-1.01281673149989,3.49346055815236,-0.289917895061495,0.771879051020582,NA
"ENSG00000106633",29.421663965115,-0.282548757747711,0.367844724351504,-0.768119641367247,0.442416108920157,0.729978007602921
"ENSG00000106635",642.813368550796,0.160691608009394,0.124337450048884,1.29238301047847,0.196224537367171,0.47450432994185
"ENSG00000106636",2114.72017022721,0.033962350601609,0.0964643775651067,0.352071422206469,0.724784699776108,0.904212316764731
"ENSG00000106638",674.662501303524,-0.00224526169386546,0.102379066082334,-0.0219308671175004,0.982503102293041,0.994706482692321
"ENSG00000106648",0,NA,NA,NA,NA,NA
"ENSG00000106665",1953.23530374203,-0.185188609775983,0.183485477490321,-1.00928210945606,0.31283935767005,0.617242323073595
"ENSG00000106682",6154.80303966957,0.0435329677075413,0.0883172486352135,0.492915805012793,0.622072079247811,0.849376274811404
"ENSG00000106683",1215.64194484752,-0.28282060616699,0.186804307270922,-1.51399403096641,0.130027353407063,0.371769731423441
"ENSG00000106686",14.3180459340402,-0.25016141646844,0.45452057592672,-0.550385240444587,0.5820551698879,0.825009848503479
"ENSG00000106688",622.155761620531,0.521326510921407,0.447926274083789,1.1638667813978,0.244478003431733,0.537780589974379
"ENSG00000106689",0,NA,NA,NA,NA,NA
"ENSG00000106692",1172.96373555182,-0.145978531267035,0.175364900269236,-0.832427304682495,0.405167795226544,0.702250659041657
"ENSG00000106701",130.43278672362,0.240633659326492,0.210901774328636,1.14097503490666,0.253880312134953,0.550625422781592
"ENSG00000106714",18.2201030055457,-0.259294132076917,0.504864349285459,-0.513591685457488,0.60753749390554,0.841825740640385
"ENSG00000106723",1935.61045746453,-0.299684721677396,0.13625310770112,-2.199470725723,0.0278444684752848,0.133916949843819
"ENSG00000106733",245.897555257025,0.147119022142338,0.204774121372229,0.718445383413031,0.472482712422243,0.750129951053244
"ENSG00000106771",2269.7431191979,0.17817919859836,0.114750339996504,1.55275529993017,0.120481605405521,0.356246371313278
"ENSG00000106772",5611.35118512175,0.721131201183904,0.181388144421431,3.97562477682364,7.01947275479686e-05,0.00117599463353317
"ENSG00000106780",1366.64873860823,0.325117128947217,0.120586828776414,2.69612471151417,0.00701513968774301,0.0490056690825037
"ENSG00000106785",214.181537963601,-0.499915308386844,0.238011041458299,-2.10038704643218,0.0356948075717532,0.15899937078653
"ENSG00000106789",14.5649927886725,-0.179788797910237,0.509548614952898,-0.352839341790492,0.724208887759688,0.903650217840642
"ENSG00000106799",3584.86127844954,-0.0259197085263011,0.273116828258052,-0.094903374104107,0.924391576470976,0.979848296697805
"ENSG00000106803",823.277537199004,0.112613884166249,0.144243986599568,0.78071805155298,0.434968341177912,0.723927952953924
"ENSG00000106804",244.055184388929,0.00821724955945769,0.284438075527201,0.0288894148374024,0.976952787835833,0.993082610126837
"ENSG00000106809",2597.17029990669,-0.904189120169248,0.717983004700708,-1.25934613249816,0.207905337102911,0.489921632242661
"ENSG00000106819",2120.03637853869,0.409811715557561,0.657666899942041,0.623129604962143,0.533199356474444,0.790721963193901
"ENSG00000106823",927.15334914789,-0.306232885401178,0.422652412311619,-0.724550189424673,0.468728026246534,0.748656869738119
"ENSG00000106829",836.419529356645,-0.247750931229522,0.169664131495027,-1.46024341766535,0.144223186592346,0.396538986540799
"ENSG00000106852",0,NA,NA,NA,NA,NA
